crop,disease,severity,treatment_cost_usd,temperature,humidity,rainfall_last_week_mm,leaf_color_r,leaf_color_g,leaf_color_b,leaf_texture_variance,spot_density,affected_area_pct,detection_confidence,image_id,detected_date
Wheat,Rust,4,200,18.9,87.68,13.96,177,121,72,0.829,0.564,78.17,0.863,img_01574.jpg,2025-11-28
Rice,Root_Rot,4,220,21.71,81.37,107.23,183,148,89,0.406,0.493,47.32,0.832,img_01575.jpg,2025-06-01
Pepper,Fusarium_Wilt,5,280,18.09,88.84,40.11,182,104,37,0.116,0.416,27.85,0.774,img_01576.jpg,2026-01-04
Tomato,Healthy,0,0,28.82,48.64,8.76,189,104,63,0.328,0.0,0.0,0.785,img_01577.jpg,2026-01-04
Tomato,Anthracnose,3,160,20.14,77.24,75.83,179,125,68,0.469,0.316,24.56,0.978,img_01578.jpg,2025-06-26
Potato,Downy_Mildew,2,120,25.37,71.07,3.82,63,45,42,0.436,0.114,77.48,0.873,img_01579.jpg,2025-12-17
Rice,Fusarium_Wilt,5,280,26.43,61.46,13.51,51,47,31,0.294,0.48,50.92,0.974,img_01580.jpg,2025-03-31
Pepper,Mosaic_Virus,5,250,25.34,70.56,20.88,179,42,34,0.504,0.593,30.9,0.953,img_01581.jpg,2025-07-27
Wheat,Leaf_Blight,3,150,19.58,71.77,51.37,128,84,67,0.453,0.619,49.96,0.759,img_01582.jpg,2026-01-30
Rice,Bacterial_Spot,3,180,28.22,84.81,2.42,62,83,64,0.458,0.633,22.49,0.848,img_01583.jpg,2025-05-09
Potato,Bacterial_Spot,3,180,35.9,94.38,31.5,199,85,51,0.681,0.409,39.63,0.708,img_01584.jpg,2025-02-27
Corn,Bacterial_Spot,3,180,14.87,94.66,7.77,59,98,72,0.271,0.308,50.34,0.874,img_01585.jpg,2025-04-05
Apple,Rust,4,200,45.36,71.92,21.8,105,94,21,0.87,0.522,27.76,0.916,img_01586.jpg,2025-02-19
Corn,Mosaic_Virus,5,250,24.46,60.91,21.03,81,91,90,0.116,0.384,77.48,0.921,img_01587.jpg,2025-05-18
Wheat,Rust,4,200,31.81,90.78,1.31,186,124,36,0.401,0.63,61.17,0.925,img_01588.jpg,2025-06-17
Pepper,Powdery_Mildew,2,100,30.61,76.32,58.64,184,42,60,0.193,0.24,55.54,0.947,img_01589.jpg,2025-02-19
Grape,Mosaic_Virus,5,250,21.78,82.17,18.27,60,52,28,0.22,0.459,33.91,0.722,img_01590.jpg,2025-03-19
Potato,Anthracnose,3,160,20.67,67.6,26.39,142,51,24,0.541,0.312,37.71,0.959,img_01591.jpg,2025-03-19
Tomato,Rust,4,200,17.82,71.94,14.0,122,74,89,0.831,0.428,34.54,0.75,img_01592.jpg,2025-12-11
Apple,Root_Rot,4,220,28.47,90.44,91.62,148,51,61,0.263,0.127,41.34,0.894,img_01593.jpg,2025-08-10
Pepper,Bacterial_Spot,3,180,27.15,74.97,7.03,180,94,38,0.681,0.462,61.76,0.762,img_01594.jpg,2025-02-20
Potato,Anthracnose,3,160,17.33,72.36,11.28,196,95,33,0.556,0.79,15.69,0.828,img_01595.jpg,2026-01-08
Corn,Mosaic_Virus,5,250,20.75,61.11,52.25,120,136,43,0.382,0.721,79.85,0.767,img_01596.jpg,2026-01-17
Pepper,Downy_Mildew,2,120,15.55,73.21,3.46,198,130,63,0.209,0.715,11.03,0.969,img_01597.jpg,2026-01-31
Rice,Downy_Mildew,2,120,27.5,79.77,45.79,96,64,51,0.718,0.364,63.49,0.881,img_01598.jpg,2026-01-13
Pepper,Healthy,0,0,20.48,87.4,66.86,97,181,45,0.31,0.0,0.0,0.904,img_01599.jpg,2025-04-30
Potato,Leaf_Blight,3,150,19.87,81.1,26.48,144,83,81,0.172,0.291,30.77,0.704,img_01600.jpg,2025-07-21
Potato,Leaf_Blight,3,150,14.92,78.39,13.33,191,47,60,0.269,0.297,40.04,0.986,img_01601.jpg,2025-09-19
Rice,Root_Rot,4,220,20.34,90.67,27.96,143,58,98,0.338,0.129,27.69,0.761,img_01602.jpg,2025-10-12
Potato,Root_Rot,4,220,30.62,83.57,50.54,60,67,30,0.271,0.488,21.97,0.969,img_01603.jpg,2025-12-29
Wheat,Fusarium_Wilt,5,280,32.42,71.04,67.21,73,90,95,0.154,0.317,55.43,0.85,img_01604.jpg,2026-01-20
Pepper,Fusarium_Wilt,5,280,16.94,62.3,200.9,127,143,49,0.239,0.567,47.65,0.882,img_01605.jpg,2025-08-18
Corn,Bacterial_Spot,3,180,24.29,62.03,201.04,157,114,28,0.771,0.612,17.93,0.893,img_01606.jpg,2025-09-18
Wheat,Anthracnose,3,160,28.31,62.94,5.56,195,65,99,0.894,0.573,58.14,0.927,img_01607.jpg,2025-03-13
Apple,Downy_Mildew,2,120,22.43,78.4,7.32,81,148,83,0.542,0.623,40.13,0.782,img_01608.jpg,2025-02-21
Wheat,Powdery_Mildew,2,100,29.31,70.37,12.39,154,62,20,0.563,0.176,21.37,0.702,img_01609.jpg,2025-06-10
Rice,Anthracnose,3,160,36.98,86.26,219.38,118,54,82,0.613,0.744,11.55,0.862,img_01610.jpg,2025-05-09
Pepper,Anthracnose,3,160,22.26,94.59,31.56,50,126,51,0.323,0.697,57.76,0.731,img_01611.jpg,2026-02-17
Pepper,Healthy,0,0,32.6,78.93,16.72,154,138,91,0.756,0.0,0.0,0.797,img_01612.jpg,2025-05-09
Potato,Downy_Mildew,2,120,22.72,75.03,14.9,163,138,41,0.334,0.11,31.3,0.95,img_01613.jpg,2025-04-02
Apple,Powdery_Mildew,2,100,34.04,65.76,6.43,159,75,91,0.725,0.405,51.17,0.948,img_01614.jpg,2025-10-18
Apple,Powdery_Mildew,2,100,26.99,79.8,41.86,114,41,58,0.339,0.289,19.31,0.803,img_01615.jpg,2026-01-02
Potato,Powdery_Mildew,2,100,16.37,74.42,83.37,102,103,79,0.276,0.701,72.62,0.885,img_01616.jpg,2025-03-24
Tomato,Downy_Mildew,2,120,23.44,71.16,12.86,154,102,48,0.348,0.368,41.42,0.844,img_01617.jpg,2025-05-14
Corn,Powdery_Mildew,2,100,30.8,70.49,48.92,186,147,87,0.22,0.408,11.3,0.798,img_01618.jpg,2025-07-27
Tomato,Anthracnose,3,160,29.58,79.64,50.09,136,73,42,0.419,0.556,9.3,0.825,img_01619.jpg,2025-04-11
Grape,Root_Rot,4,220,39.7,78.2,28.07,86,117,91,0.654,0.289,49.58,0.875,img_01620.jpg,2025-07-24
Corn,Healthy,0,0,10.44,56.78,25.43,111,171,93,0.764,0.0,0.0,0.788,img_01621.jpg,2025-05-18
Apple,Root_Rot,4,220,23.65,62.37,20.92,165,88,32,0.659,0.57,62.26,0.867,img_01622.jpg,2025-11-07
Wheat,Downy_Mildew,2,120,1.48,90.61,16.96,185,127,59,0.275,0.307,39.2,0.903,img_01623.jpg,2025-05-03
Pepper,Mosaic_Virus,5,250,9.31,74.84,31.06,72,82,75,0.475,0.756,22.3,0.96,img_01624.jpg,2026-01-18
Rice,Root_Rot,4,220,17.21,93.89,41.68,51,64,25,0.376,0.529,57.94,0.857,img_01625.jpg,2025-07-28
Corn,Downy_Mildew,2,120,29.94,81.21,0.38,178,83,59,0.409,0.446,30.13,0.734,img_01626.jpg,2025-12-26
Tomato,Healthy,0,0,44.51,49.77,138.94,76,156,96,0.456,0.0,0.0,0.74,img_01627.jpg,2025-11-15
Tomato,Anthracnose,3,160,22.74,62.83,34.82,187,132,44,0.536,0.109,62.46,0.893,img_01628.jpg,2025-04-22
Pepper,Healthy,0,0,25.55,68.64,25.4,131,110,36,0.734,0.0,0.0,0.798,img_01629.jpg,2026-01-27
Pepper,Rust,4,200,22.46,84.7,28.33,118,81,60,0.402,0.231,6.27,0.859,img_01630.jpg,2025-05-29
Grape,Healthy,0,0,19.41,67.23,7.1,108,193,28,0.669,0.0,0.0,0.807,img_01631.jpg,2025-02-19
Wheat,Root_Rot,4,220,27.23,76.89,32.2,100,105,42,0.228,0.346,64.59,0.898,img_01632.jpg,2025-11-27
Pepper,Healthy,0,0,24.86,73.39,80.13,193,151,91,0.476,0.0,0.0,0.966,img_01633.jpg,2025-02-23
Wheat,Healthy,0,0,27.35,41.57,2.12,130,154,27,0.35,0.0,0.0,0.724,img_01634.jpg,2025-10-03
Rice,Downy_Mildew,2,120,38.26,75.54,14.83,81,116,96,0.283,0.42,59.22,0.925,img_01635.jpg,2025-04-21
Grape,Powdery_Mildew,2,100,13.1,73.69,2.01,110,147,48,0.45,0.318,78.92,0.983,img_01636.jpg,2025-06-13
Pepper,Bacterial_Spot,3,180,33.43,76.31,6.26,67,67,76,0.161,0.527,9.44,0.94,img_01637.jpg,2025-07-25
Grape,Powdery_Mildew,2,100,24.12,63.34,25.35,88,148,55,0.302,0.274,62.06,0.797,img_01638.jpg,2025-08-26
Pepper,Healthy,0,0,21.3,43.09,95.06,169,180,53,0.128,0.0,0.0,0.718,img_01639.jpg,2025-09-26
Apple,Bacterial_Spot,3,180,32.93,74.12,25.79,134,46,59,0.214,0.603,24.37,0.861,img_01640.jpg,2025-08-01
Pepper,Mosaic_Virus,5,250,32.24,79.49,55.08,175,116,84,0.679,0.347,70.46,0.915,img_01641.jpg,2025-12-13
Pepper,Root_Rot,4,220,37.73,73.92,22.46,54,85,57,0.768,0.306,44.14,0.71,img_01642.jpg,2025-08-01
Rice,Mosaic_Virus,5,250,31.3,61.79,63.91,98,91,88,0.377,0.241,58.59,0.884,img_01643.jpg,2026-01-05
Corn,Fusarium_Wilt,5,280,26.81,90.76,34.45,79,71,57,0.332,0.496,43.62,0.848,img_01644.jpg,2025-06-07
Pepper,Leaf_Blight,3,150,32.25,78.34,6.49,68,45,94,0.374,0.691,25.82,0.971,img_01645.jpg,2025-04-25
Pepper,Bacterial_Spot,3,180,22.49,86.74,33.57,199,79,69,0.338,0.285,17.54,0.788,img_01646.jpg,2025-06-20
Apple,Fusarium_Wilt,5,280,20.17,68.42,2.7,88,108,72,0.145,0.743,36.44,0.707,img_01647.jpg,2026-02-18
Wheat,Healthy,0,0,14.41,53.69,52.93,112,192,41,0.171,0.0,0.0,0.702,img_01648.jpg,2025-09-15
Corn,Mosaic_Virus,5,250,16.79,89.98,49.28,96,59,32,0.269,0.179,33.29,0.76,img_01649.jpg,2025-12-05
Corn,Healthy,0,0,17.98,68.81,30.41,50,166,57,0.269,0.0,0.0,0.798,img_01650.jpg,2025-07-11
Grape,Powdery_Mildew,2,100,29.35,81.9,34.89,185,104,81,0.148,0.583,65.31,0.958,img_01651.jpg,2025-04-12
Tomato,Rust,4,200,27.84,72.16,66.9,176,83,50,0.858,0.423,59.4,0.859,img_01652.jpg,2025-11-01
Grape,Powdery_Mildew,2,100,31.54,90.69,11.45,192,107,68,0.41,0.565,70.67,0.765,img_01653.jpg,2025-03-17
Apple,Bacterial_Spot,3,180,16.18,94.32,75.2,139,82,38,0.264,0.33,67.63,0.979,img_01654.jpg,2025-11-24
Pepper,Mosaic_Virus,5,250,0.87,75.34,0.62,189,140,55,0.696,0.6,47.36,0.887,img_01655.jpg,2025-10-28
Tomato,Rust,4,200,28.86,92.95,1.13,77,117,55,0.788,0.68,36.45,0.944,img_01656.jpg,2025-04-12
Pepper,Healthy,0,0,39.59,50.36,19.0,150,118,71,0.394,0.0,0.0,0.898,img_01657.jpg,2025-10-10
Grape,Healthy,0,0,31.14,59.14,40.73,50,133,65,0.625,0.0,0.0,0.926,img_01658.jpg,2025-10-26
Potato,Mosaic_Virus,5,250,7.61,82.6,25.45,150,110,85,0.687,0.473,29.48,0.976,img_01659.jpg,2025-07-13
Apple,Downy_Mildew,2,120,38.36,66.68,14.55,100,131,26,0.132,0.475,31.49,0.707,img_01660.jpg,2025-12-06
Rice,Powdery_Mildew,2,100,25.34,94.19,17.61,174,41,66,0.483,0.439,75.5,0.912,img_01661.jpg,2025-06-26
Pepper,Root_Rot,4,220,23.93,89.59,3.58,177,120,44,0.463,0.364,75.46,0.708,img_01662.jpg,2025-08-15
Corn,Leaf_Blight,3,150,18.17,91.02,61.28,76,124,96,0.232,0.719,40.18,0.864,img_01663.jpg,2025-08-28
Wheat,Downy_Mildew,2,120,27.19,91.37,10.47,147,124,93,0.765,0.589,37.13,0.796,img_01664.jpg,2025-06-18
Tomato,Fusarium_Wilt,5,280,17.71,62.16,10.62,143,119,29,0.268,0.651,74.69,0.767,img_01665.jpg,2026-01-19
Wheat,Mosaic_Virus,5,250,27.75,93.63,114.35,150,78,95,0.234,0.782,54.38,0.752,img_01666.jpg,2025-07-30
Wheat,Root_Rot,4,220,22.28,83.96,9.41,101,120,20,0.703,0.378,14.7,0.703,img_01667.jpg,2025-11-12
Pepper,Powdery_Mildew,2,100,28.61,65.42,1.41,152,116,95,0.425,0.47,70.67,0.987,img_01668.jpg,2025-07-12
Wheat,Rust,4,200,18.34,76.4,30.01,144,115,40,0.151,0.655,73.02,0.971,img_01669.jpg,2025-10-10
Corn,Powdery_Mildew,2,100,26.41,82.33,10.39,54,60,68,0.13,0.189,18.32,0.709,img_01670.jpg,2025-05-23
Grape,Mosaic_Virus,5,250,22.58,70.21,15.96,188,132,58,0.532,0.632,42.76,0.928,img_01671.jpg,2025-11-30
Wheat,Downy_Mildew,2,120,28.18,72.89,9.26,164,58,85,0.528,0.561,70.47,0.767,img_01672.jpg,2025-06-26
Wheat,Powdery_Mildew,2,100,20.1,80.34,9.11,153,42,29,0.175,0.727,48.87,0.721,img_01673.jpg,2025-06-10
Corn,Powdery_Mildew,2,100,27.41,77.97,55.14,179,132,29,0.841,0.201,42.44,0.93,img_01674.jpg,2025-08-31
Wheat,Fusarium_Wilt,5,280,17.87,68.12,6.76,64,130,78,0.121,0.74,53.33,0.798,img_01675.jpg,2025-12-29
Wheat,Healthy,0,0,22.53,93.59,59.09,62,114,69,0.747,0.0,0.0,0.881,img_01676.jpg,2025-10-25
Tomato,Anthracnose,3,160,24.3,82.81,17.2,70,116,55,0.723,0.183,70.39,0.759,img_01677.jpg,2026-02-16
Rice,Downy_Mildew,2,120,27.15,81.91,8.59,54,81,21,0.232,0.43,23.68,0.97,img_01678.jpg,2025-12-09
Rice,Rust,4,200,29.99,93.73,9.72,113,123,80,0.458,0.171,60.16,0.701,img_01679.jpg,2026-02-02
Pepper,Rust,4,200,16.47,93.89,5.63,133,127,32,0.722,0.629,35.8,0.791,img_01680.jpg,2026-02-14
Wheat,Bacterial_Spot,3,180,33.81,82.32,2.85,79,48,35,0.234,0.718,32.02,0.901,img_01681.jpg,2025-11-14
Wheat,Rust,4,200,32.17,66.56,24.63,151,128,71,0.347,0.56,58.62,0.881,img_01682.jpg,2025-03-07
Wheat,Leaf_Blight,3,150,23.94,87.31,35.8,171,85,82,0.51,0.508,27.62,0.801,img_01683.jpg,2025-05-22
Apple,Bacterial_Spot,3,180,23.03,69.92,9.05,70,131,27,0.31,0.448,30.14,0.855,img_01684.jpg,2025-07-30
Corn,Leaf_Blight,3,150,30.56,94.09,8.3,64,41,52,0.507,0.589,50.28,0.846,img_01685.jpg,2025-08-19
Tomato,Anthracnose,3,160,17.42,80.28,41.62,54,101,64,0.346,0.628,41.1,0.9,img_01686.jpg,2025-10-05
Wheat,Anthracnose,3,160,28.96,73.06,39.32,131,122,54,0.856,0.242,18.71,0.851,img_01687.jpg,2025-07-09
Apple,Leaf_Blight,3,150,22.1,84.71,55.17,146,84,34,0.556,0.597,55.13,0.754,img_01688.jpg,2025-03-05
Pepper,Leaf_Blight,3,150,19.65,92.32,6.64,118,67,54,0.823,0.453,56.51,0.792,img_01689.jpg,2025-07-19
Grape,Fusarium_Wilt,5,280,28.84,76.07,27.28,145,97,93,0.73,0.359,75.17,0.705,img_01690.jpg,2025-05-19
Grape,Healthy,0,0,10.11,64.79,71.42,94,183,56,0.288,0.0,0.0,0.86,img_01691.jpg,2025-09-21
Apple,Mosaic_Virus,5,250,18.26,88.75,54.32,145,66,77,0.505,0.38,53.34,0.77,img_01692.jpg,2025-09-15
Corn,Bacterial_Spot,3,180,21.07,84.25,40.45,112,56,69,0.114,0.54,25.08,0.935,img_01693.jpg,2026-01-01
Pepper,Mosaic_Virus,5,250,33.71,62.69,16.63,157,117,41,0.834,0.393,62.76,0.932,img_01694.jpg,2025-03-16
Wheat,Downy_Mildew,2,120,27.37,66.61,73.93,191,69,97,0.649,0.36,11.59,0.812,img_01695.jpg,2025-06-27
Corn,Fusarium_Wilt,5,280,21.36,71.4,29.95,150,81,71,0.664,0.799,28.93,0.721,img_01696.jpg,2025-07-12
Tomato,Bacterial_Spot,3,180,32.2,91.32,0.88,112,86,36,0.453,0.612,60.15,0.844,img_01697.jpg,2025-09-07
Corn,Rust,4,200,19.48,85.49,55.22,169,50,66,0.196,0.579,49.42,0.867,img_01698.jpg,2025-04-03
Wheat,Anthracnose,3,160,26.51,75.26,130.46,86,60,88,0.612,0.375,36.99,0.837,img_01699.jpg,2025-03-25
Grape,Fusarium_Wilt,5,280,13.75,63.97,2.15,66,149,55,0.58,0.294,41.51,0.841,img_01700.jpg,2025-05-28
Apple,Downy_Mildew,2,120,25.42,94.2,62.6,171,128,57,0.809,0.237,9.96,0.811,img_01701.jpg,2025-04-10
Rice,Rust,4,200,33.18,71.41,8.68,145,81,42,0.458,0.798,43.21,0.923,img_01702.jpg,2025-12-14
Wheat,Downy_Mildew,2,120,27.56,71.65,63.43,52,40,96,0.227,0.777,18.93,0.835,img_01703.jpg,2025-03-31
Tomato,Fusarium_Wilt,5,280,24.61,71.91,48.04,162,90,58,0.33,0.43,60.94,0.952,img_01704.jpg,2025-10-29
Pepper,Fusarium_Wilt,5,280,27.26,91.91,11.61,116,109,60,0.14,0.224,47.96,0.952,img_01705.jpg,2025-04-11
Pepper,Fusarium_Wilt,5,280,37.06,79.63,20.46,69,116,73,0.433,0.58,58.09,0.849,img_01706.jpg,2025-03-10
Wheat,Downy_Mildew,2,120,29.67,79.39,6.5,63,68,79,0.44,0.447,38.91,0.775,img_01707.jpg,2025-03-10
Potato,Rust,4,200,27.05,60.39,16.87,106,91,76,0.321,0.326,43.93,0.883,img_01708.jpg,2025-03-01
Tomato,Mosaic_Virus,5,250,19.1,62.61,32.4,144,57,99,0.776,0.715,12.57,0.703,img_01709.jpg,2025-10-21
Potato,Powdery_Mildew,2,100,29.35,87.08,22.86,105,40,79,0.411,0.534,36.89,0.925,img_01710.jpg,2025-04-21
Apple,Downy_Mildew,2,120,34.28,66.62,21.12,173,65,30,0.864,0.127,21.53,0.82,img_01711.jpg,2025-04-28
Apple,Root_Rot,4,220,35.97,82.36,10.83,105,99,44,0.571,0.138,66.86,0.893,img_01712.jpg,2025-08-18
Tomato,Leaf_Blight,3,150,22.18,77.35,43.03,59,126,40,0.314,0.561,14.72,0.877,img_01713.jpg,2025-12-16
Tomato,Mosaic_Virus,5,250,32.51,71.59,15.04,88,99,45,0.806,0.493,14.94,0.783,img_01714.jpg,2025-08-01
Grape,Root_Rot,4,220,13.25,71.46,4.04,130,102,37,0.455,0.324,79.59,0.87,img_01715.jpg,2025-03-24
Grape,Downy_Mildew,2,120,23.27,86.72,56.28,162,72,32,0.6,0.213,32.91,0.871,img_01716.jpg,2025-03-30
Grape,Healthy,0,0,34.82,44.27,114.61,104,198,75,0.485,0.0,0.0,0.878,img_01717.jpg,2025-03-26
Wheat,Anthracnose,3,160,19.08,73.25,21.45,56,52,26,0.233,0.668,17.88,0.924,img_01718.jpg,2025-09-20
Grape,Anthracnose,3,160,27.34,76.22,84.23,163,148,81,0.303,0.37,41.58,0.835,img_01719.jpg,2025-06-23
Rice,Leaf_Blight,3,150,21.8,87.02,87.56,190,84,92,0.476,0.369,14.96,0.749,img_01720.jpg,2025-05-05
Grape,Fusarium_Wilt,5,280,27.55,68.81,13.63,92,140,98,0.726,0.785,12.11,0.929,img_01721.jpg,2025-10-16
Apple,Powdery_Mildew,2,100,23.1,93.38,47.51,100,68,20,0.861,0.174,79.0,0.969,img_01722.jpg,2025-04-10
Tomato,Leaf_Blight,3,150,29.32,67.05,0.92,191,104,75,0.814,0.275,66.91,0.805,img_01723.jpg,2025-10-24
Apple,Downy_Mildew,2,120,46.37,78.15,31.72,189,104,89,0.261,0.368,77.81,0.928,img_01724.jpg,2025-11-17
Corn,Bacterial_Spot,3,180,18.54,69.83,34.53,66,90,74,0.674,0.453,34.71,0.73,img_01725.jpg,2025-06-24
Corn,Root_Rot,4,220,22.09,60.68,21.44,108,123,61,0.34,0.368,19.65,0.832,img_01726.jpg,2025-12-03
Apple,Leaf_Blight,3,150,8.58,62.85,4.02,85,70,82,0.305,0.699,39.43,0.773,img_01727.jpg,2025-08-23
Grape,Fusarium_Wilt,5,280,29.38,86.68,10.13,148,120,23,0.854,0.443,59.06,0.729,img_01728.jpg,2025-10-19
Rice,Anthracnose,3,160,30.55,80.35,16.56,93,57,68,0.701,0.398,72.86,0.988,img_01729.jpg,2025-11-06
Grape,Fusarium_Wilt,5,280,27.08,87.54,24.69,90,107,71,0.561,0.397,19.77,0.771,img_01730.jpg,2025-10-26
Rice,Fusarium_Wilt,5,280,27.64,92.09,66.66,139,108,53,0.2,0.493,27.46,0.976,img_01731.jpg,2025-04-11
Rice,Mosaic_Virus,5,250,19.13,68.85,7.05,125,138,51,0.151,0.185,54.26,0.776,img_01732.jpg,2026-02-16
Apple,Rust,4,200,33.47,72.67,24.14,102,99,99,0.434,0.404,14.34,0.704,img_01733.jpg,2025-09-08
Grape,Bacterial_Spot,3,180,10.22,63.08,36.69,92,107,24,0.828,0.573,33.82,0.726,img_01734.jpg,2025-08-18
Apple,Root_Rot,4,220,27.46,68.34,23.81,195,72,56,0.556,0.333,39.55,0.869,img_01735.jpg,2025-11-10
Pepper,Leaf_Blight,3,150,18.43,87.58,14.84,59,96,45,0.383,0.699,68.3,0.875,img_01736.jpg,2026-01-21
Pepper,Downy_Mildew,2,120,44.24,91.71,26.84,154,122,68,0.337,0.275,28.19,0.913,img_01737.jpg,2025-10-31
Tomato,Healthy,0,0,27.69,50.69,29.35,176,196,79,0.447,0.0,0.0,0.886,img_01738.jpg,2025-12-05
Tomato,Leaf_Blight,3,150,20.59,83.58,2.21,102,84,27,0.469,0.786,76.41,0.962,img_01739.jpg,2025-03-17
Pepper,Powdery_Mildew,2,100,24.95,63.75,42.27,198,118,81,0.543,0.714,29.74,0.839,img_01740.jpg,2025-11-07
Grape,Root_Rot,4,220,37.33,79.69,37.84,98,73,88,0.443,0.502,47.33,0.868,img_01741.jpg,2025-10-29
Apple,Powdery_Mildew,2,100,25.57,70.43,26.1,57,134,79,0.57,0.62,6.77,0.733,img_01742.jpg,2025-08-04
Wheat,Anthracnose,3,160,38.64,61.06,6.35,153,47,61,0.159,0.43,75.59,0.98,img_01743.jpg,2025-02-24
Corn,Powdery_Mildew,2,100,17.19,64.39,12.24,199,47,62,0.462,0.749,50.92,0.812,img_01744.jpg,2025-11-07
Pepper,Bacterial_Spot,3,180,29.28,83.74,3.17,166,113,32,0.605,0.328,67.41,0.923,img_01745.jpg,2025-10-05
Wheat,Fusarium_Wilt,5,280,8.12,69.94,55.63,76,68,88,0.803,0.344,29.62,0.901,img_01746.jpg,2025-04-19
Grape,Leaf_Blight,3,150,13.3,80.45,65.45,57,104,24,0.72,0.167,40.52,0.951,img_01747.jpg,2025-03-15
Tomato,Root_Rot,4,220,28.82,77.85,42.4,80,149,61,0.598,0.646,39.69,0.791,img_01748.jpg,2026-01-01
Potato,Fusarium_Wilt,5,280,24.28,84.73,56.76,125,121,44,0.554,0.765,18.86,0.907,img_01749.jpg,2026-02-02
Tomato,Fusarium_Wilt,5,280,30.76,75.26,31.36,72,97,71,0.38,0.786,72.67,0.744,img_01750.jpg,2025-09-18
Grape,Downy_Mildew,2,120,26.6,60.76,28.9,137,88,21,0.115,0.538,46.22,0.919,img_01751.jpg,2025-08-01
Pepper,Healthy,0,0,41.76,53.12,0.07,106,199,53,0.25,0.0,0.0,0.732,img_01752.jpg,2025-11-05
Grape,Powdery_Mildew,2,100,14.86,69.62,81.37,95,78,58,0.763,0.761,32.18,0.842,img_01753.jpg,2025-09-14
Pepper,Bacterial_Spot,3,180,33.25,92.68,8.44,166,108,58,0.783,0.218,78.47,0.918,img_01754.jpg,2025-05-10
Wheat,Fusarium_Wilt,5,280,19.73,67.19,14.11,94,53,26,0.145,0.445,56.59,0.822,img_01755.jpg,2025-03-16
Apple,Anthracnose,3,160,42.37,64.7,51.74,132,86,50,0.182,0.699,65.59,0.823,img_01756.jpg,2025-04-11
Rice,Mosaic_Virus,5,250,16.28,74.71,16.73,185,116,53,0.399,0.421,10.63,0.707,img_01757.jpg,2026-01-04
Grape,Anthracnose,3,160,32.25,62.02,4.16,176,91,43,0.358,0.162,61.94,0.809,img_01758.jpg,2026-01-21
Tomato,Fusarium_Wilt,5,280,25.14,90.51,95.85,84,110,42,0.457,0.308,27.04,0.867,img_01759.jpg,2025-04-19
Pepper,Rust,4,200,27.02,86.61,41.22,169,65,52,0.888,0.33,26.12,0.848,img_01760.jpg,2026-01-01
Rice,Root_Rot,4,220,31.72,93.84,7.95,146,135,92,0.598,0.771,72.31,0.888,img_01761.jpg,2025-02-22
Potato,Mosaic_Virus,5,250,14.38,63.06,11.73,117,92,98,0.457,0.434,6.29,0.721,img_01762.jpg,2026-02-12
Apple,Bacterial_Spot,3,180,25.5,67.12,0.23,107,75,32,0.525,0.505,65.52,0.819,img_01763.jpg,2025-06-13
Rice,Rust,4,200,28.79,60.61,125.44,65,132,39,0.879,0.124,15.06,0.724,img_01764.jpg,2025-07-20
Rice,Root_Rot,4,220,40.9,75.49,26.59,105,114,85,0.465,0.729,34.25,0.819,img_01765.jpg,2025-10-12
Wheat,Anthracnose,3,160,30.74,75.02,73.24,50,123,55,0.414,0.709,6.07,0.773,img_01766.jpg,2025-03-04
Pepper,Rust,4,200,14.84,73.96,58.8,178,69,79,0.875,0.111,18.26,0.706,img_01767.jpg,2025-05-14
Apple,Healthy,0,0,17.63,54.69,48.71,188,109,20,0.529,0.0,0.0,0.989,img_01768.jpg,2025-12-15
Tomato,Downy_Mildew,2,120,18.78,60.08,54.7,88,132,57,0.619,0.18,14.65,0.742,img_01769.jpg,2025-03-19
Grape,Mosaic_Virus,5,250,18.77,73.37,5.11,182,129,90,0.178,0.143,57.34,0.815,img_01770.jpg,2025-07-11
Potato,Mosaic_Virus,5,250,27.63,81.07,7.19,150,62,63,0.111,0.357,58.91,0.875,img_01771.jpg,2025-05-12
Pepper,Rust,4,200,21.61,72.14,68.02,66,70,91,0.756,0.403,67.88,0.915,img_01772.jpg,2025-05-18
Pepper,Bacterial_Spot,3,180,22.88,90.6,58.9,74,135,99,0.54,0.294,32.09,0.876,img_01773.jpg,2025-07-08
Wheat,Leaf_Blight,3,150,26.91,77.43,29.86,57,136,31,0.553,0.101,51.83,0.947,img_01774.jpg,2025-07-07
Wheat,Bacterial_Spot,3,180,26.42,94.21,48.92,82,85,83,0.754,0.379,40.67,0.769,img_01775.jpg,2025-10-07
Tomato,Mosaic_Virus,5,250,25.99,93.69,20.96,94,112,24,0.243,0.49,20.27,0.758,img_01776.jpg,2025-04-15
Apple,Root_Rot,4,220,20.42,67.09,15.43,179,47,50,0.579,0.729,74.76,0.759,img_01777.jpg,2025-04-09
Tomato,Rust,4,200,1.62,67.91,6.42,118,133,73,0.282,0.394,24.48,0.985,img_01778.jpg,2025-08-01
Apple,Powdery_Mildew,2,100,20.84,64.06,10.09,56,78,96,0.774,0.425,41.64,0.797,img_01779.jpg,2026-01-21
Wheat,Powdery_Mildew,2,100,11.71,69.02,8.63,183,51,58,0.184,0.342,57.9,0.818,img_01780.jpg,2026-01-27
Grape,Downy_Mildew,2,120,24.76,67.79,20.72,158,126,26,0.381,0.473,57.03,0.884,img_01781.jpg,2025-09-29
